ID, VALUE_EN, VALUE_RU, VALUE_UK
"201062","","","22"
"201063","","","24"
"201064","","","26"
"201065","","","1/14"
"201066","","","Арсенальна вул."
"201067","","","1Б"
"201068","","","3"
"201069","","","5"
"201070","","","6"
"201071","","","9-11"
"201072","","","15"
"201073","","","17"
"201074","","","18"
"201075","","","20"
"201076","","","1"
"201077","","","Арсенальна пл."
"201078","","","1Б"
"201079","","","П1"
"201080","","","5"
"201081","","","Арсенальний пров."
"201082","","","3"
"201083","","","Артезіанський пров."
"201084","","","3А"
"201085","","","5"
"201086","","","5А"
"201087","","","6"
"201088","","","6А"
"201089","","","7"
"201090","","","7А"
"201091","","","8"
"201092","","","9"
"201093","","","11"
"201094","","","13"
"201095","","","19"
"201096","","","Артема вул. (Коцюбинське)"
"201097","","","21"
"201098","","","23"
"201099","","","25"
"201100","","","27"
"201101","","","29"
"201102","","","31"
"201103","","","33"
"201104","","","1-5"
"201105","","","Артема вул. / Січових Стрільців вул."
"201106","","","1А"
"201107","","","5"
"201108","","","5А"
"201109","","","5Б"
"201110","","","5В"
"201111","","","5Г"
"201112","","","7"
"201113","","","7/9"
"201114","","","9В"
"201115","","","10"
"201116","","","10Б"
"201117","","","11"
"201118","","","11А"
"201119","","","12"
"201120","","","12А"
"201121","","","13"
"201122","","","14"
"201123","","","14А"
"201124","","","15"
"201125","","","17"
"201126","","","18"
"201127","","","20"
"201128","","","21"
"201129","","","22"
"201130","","","23"
"201131","","","24"
"201132","","","24А"
"201133","","","24Б"
"201134","","","25"
"201135","","","25А"
"201136","","","26"
"201137","","","26А"
"201138","","","26Б"
"201139","","","26В"
"201140","","","27"
"201141","","","28"
"201142","","","28А"
"201143","","","30"
"201144","","","30А"
"201145","","","30Б"
"201146","","","31"
"201147","","","32-38"
"201148","","","33А"
"201149","","","33Б"
"201150","","","35"
"201151","","","37"
"201152","","","37-41"
"201153","","","37/41"
"201154","","","40"
"201155","","","40А"
"201156","","","42"
"201157","","","43"
"201158","","","44"
"201159","","","45"
"201160","","","45А"
"201161","","","46"
"201162","","","46А"
"201163","","","47"
"201164","","","47А"
"201165","","","48"
"201166","","","49"
"201167","","","50"
"201168","","","51/50"
"201169","","","52"
"201170","","","52А"
"201171","","","52Д"
"201172","","","53"
"201173","","","54"
"201174","","","55"
"201175","","","55А"
"201176","","","55Б"
"201177","","","55В"
"201178","","","57"
"201179","","","58/2"
"201180","","","58/2А"
"201181","","","58/2Б"
"201182","","","58/2В"
"201183","","","58/2Г"
"201184","","","58/2Д"
"201185","","","59"
"201186","","","59/65"
"201187","","","59А"
"201188","","","60"
"201189","","","66"
"201190","","","68"
"201191","","","70"
"201192","","","72"
"201193","","","72А"
"201194","","","73"
"201195","","","74"
"201196","","","75"
"201197","","","76"
"201198","","","77"
"201199","","","79"
"201200","","","81"
"201201","","","82"
"201202","","","84"
"201203","","","87"
"201204","","","89"
"201205","","","91"
"201206","","","93"
"201207","","","103"
"201208","","","103А"
"201209","","","1"
"201210","","","Артилерійський пров."
"201211","","","1А"
"201212","","","3"
"201213","","","5"
"201214","","","5А"
"201215","","","5Б"
"201216","","","5В"
"201217","","","7/9"
"201218","","","7А"
"201219","","","9"
"201220","","","9А"
"201221","","","11"
"201222","","","13"
"201223","","","4"
"201224","","","Архітекторська вул."
"201225","","","5"
"201226","","","7"
"201227","","","8"
"201228","","","9"
"201229","","","10"
"201230","","","11"
"201231","","","11А"
"201232","","","11Б"
"201233","","","12А"
"201234","","","13"
"201235","","","17/26"
"201236","","","3А"
"201237","","","Аскольдів пров."
"201238","","","5"
"201239","","","5А"
"201240","","","3"
"201241","","","Астраханська вул."
"201242","","","5"
"201243","","","19"
"201244","","","21"
"201245","","","23"
"201246","","","25"
"201247","","","2/4"
"201248","","","Астраханський пров."
"201249","","","1"
"201250","","","Астрономічна вул."
"201251","","","2"
"201252","","","3"
"201253","","","4"
"201254","","","5"
"201255","","","6"
"201256","","","8"
"201257","","","9"
"201258","","","10"
"201259","","","11"
"201260","","","12"
"201261","","","13"
"201262","","","14"
"201263","","","15"
"201264","","","16"
"201265","","","17"
"201266","","","18"
"201267","","","19"
"201268","","","20"
"201269","","","2А"
"201270","","","Ахматової Анни вул."
"201271","","","2Б"
"201272","","","3"
"201273","","","3А"
"201274","","","4"
"201275","","","5"
"201276","","","5А"
"201277","","","5Б"
"201278","","","6"
"201279","","","7/15"
"201280","","","8"
"201281","","","9/18"
"201282","","","9/18А"
"201283","","","11"
"201284","","","11А"
"201285","","","13"
"201286","","","13А"
"201287","","","13Б"
"201288","","","13В"
"201289","","","13Г"
"201290","","","13Д"
"201291","","","14"
"201292","","","14А"
"201293","","","14Б"
"201294","","","14В"
"201295","","","15"
"201296","","","16А"
"201297","","","16Б"
"201298","","","16В"
"201299","","","16Г"
"201300","","","17"
"201301","","","18"
"201302","","","19"
"201303","","","21"
"201304","","","23"
"201305","","","25"
"201306","","","31"
"201307","","","33"
"201308","","","35"
"201309","","","35А"
"201310","","","35Б"
"201311","","","37"
"201312","","","39А"
"201313","","","39Б"
"201314","","","41"
"201315","","","43"
"201316","","","44"
"201317","","","45"
"201318","","","46"
"201319","","","46А"
"201320","","","47"
"201321","","","48"
"201322","","","48А"
"201323","","","50"
"201324","","","1"
"201325","","","Бєлінського Чеслава пров."
"201326","","","3"
"201327","","","5"
"201328","","","5А"
"201329","","","6"
"201330","","","8"
"201331","","","10"
"201332","","","7"
"201333","","","Бігова вул."
"201334","","","4"
"201335","","","Білгородська вул."
"201336","","","6"
"201337","","","8"
"201338","","","9"
"201339","","","10"
"201340","","","12"
"201341","","","14"
"201342","","","134"
"201343","","","2А"
"201344","","","Білецького Академіка вул."
"201345","","","3"
"201346","","","4"
"201347","","","5"
"201348","","","5А"
"201349","","","5Б"
"201350","","","5В"
