ID, VALUE_EN, VALUE_RU, VALUE_UK
"101047","9","","9"
"101048","10","","10"
"101049","12","","12"
"101050","14","","14"
"101051","17","","17"
"101052","Ankari pl.","","Анкари пл."
"101053","2/32","","2/32"
"101054","Antonova Aviakonstruktora vul.","","Антонова Авіаконструктора вул."
"101055","3","","3"
"101056","4","","4"
"101057","4/1","","4/1"
"101058","4A","","4А"
"101059","5","","5"
"101060","5B","","5Б"
"101061","7","","7"
"101062","8","","8"
"101063","9","","9"
"101064","10","","10"
"101065","11","","11"
"101066","12","","12"
"101067","12A","","12А"
"101068","13","","13"
"101069","14","","14"
"101070","15","","15"
"101071","15A","","15А"
"101072","16","","16"
"101073","17","","17"
"101074","18","","18"
"101075","20","","20"
"101076","35","","35"
"101077","37","","37"
"101078","39","","39"
"101079","41","","41"
"101080","43","","43"
"101081","45","","45"
"101082","47","","47"
"101083","91/14","","91/14"
"101084","2","","2"
"101085","Antonova vul. (Petr.Borshagivka)","","Антонова вул. (Петр.Борщагівка)"
"101086","5","","5"
"101087","BM1","","БМ1"
"101088","7","","7"
"101089","Antonova-Ovsienka vul.","","Антонова-Овсієнка вул."
"101090","9","","9"
"101091","21","","21"
"101092","25","","25"
"101093","27","","27"
"101094","29","","29"
"101095","31","","31"
"101096","33","","33"
"101097","41","","41"
"101098","1","","1"
"101099","Aref'Eva Kostyantina vul.","","Ареф'Єва Костянтина вул."
"101100","2","","2"
"101101","4","","4"
"101102","4A","","4А"
"101103","4B","","4Б"
"101104","6","","6"
"101105","7","","7"
"101106","7A","","7А"
"101107","8","","8"
"101108","8A","","8А"
"101109","9","","9"
"101110","10","","10"
"101111","11","","11"
"101112","11A","","11А"
"101113","12","","12"
"101114","13","","13"
"101115","14","","14"
"101116","14A","","14А"
"101117","15","","15"
"101118","16","","16"
"101119","16A","","16А"
"101120","17","","17"
"101121","18","","18"
"101122","18A","","18А"
"101123","18B","","18Б"
"101124","19","","19"
"101125","19A","","19А"
"101126","20","","20"
"101127","20A","","20А"
"101128","20B","","20Б"
"101129","21","","21"
"101130","22","","22"
"101131","24","","24"
"101132","25","","25"
"101133","25A","","25А"
"101134","26","","26"
"101135","27A","","27А"
"101136","28","","28"
"101137","28A","","28А"
"101138","29","","29"
"101139","29A","","29А"
"101140","30","","30"
"101141","31","","31"
"101142","31B","","31Б"
"101143","32","","32"
"101144","34","","34"
"101145","35","","35"
"101146","36","","36"
"101147","38","","38"
"101148","39","","39"
"101149","40","","40"
"101150","41","","41"
"101151","42A","","42А"
"101152","44","","44"
"101153","2/18","","2/18"
"101154","Armiis'ka vul.","","Армійська вул."
"101155","3","","3"
"101156","4","","4"
"101157","5","","5"
"101158","5A","","5А"
"101159","6","","6"
"101160","7","","7"
"101161","8","","8"
"101162","9","","9"
"101163","10","","10"
"101164","11","","11"
"101165","12","","12"
"101166","13","","13"
"101167","14","","14"
"101168","15","","15"
"101169","18","","18"
"101170","20","","20"
"101171","22","","22"
"101172","24","","24"
"101173","26","","26"
"101174","1/14","","1/14"
"101175","Arsenal'na vul.","","Арсенальна вул."
"101176","1B","","1Б"
"101177","3","","3"
"101178","5","","5"
"101179","6","","6"
"101180","9-11","","9-11"
"101181","15","","15"
"101182","17","","17"
"101183","18","","18"
"101184","20","","20"
"101185","1","","1"
"101186","Arsenal'na pl.","","Арсенальна пл."
"101187","1B","","1Б"
"101188","P1","","П1"
"101189","5","","5"
"101190","Arsenal'nii prov.","","Арсенальний пров."
"101191","3","","3"
"101192","Artezians'kii prov.","","Артезіанський пров."
"101193","3A","","3А"
"101194","5","","5"
"101195","5A","","5А"
"101196","6","","6"
"101197","6A","","6А"
"101198","7","","7"
"101199","7A","","7А"
"101200","8","","8"
"101201","9","","9"
"101202","11","","11"
"101203","13","","13"
"101204","19","","19"
"101205","Artema vul. (Kocubins'ke)","","Артема вул. (Коцюбинське)"
"101206","21","","21"
"101207","23","","23"
"101208","25","","25"
"101209","27","","27"
"101210","29","","29"
"101211","31","","31"
"101212","33","","33"
"101213","1-5","","1-5"
"101214","Artema vul. / Sichovih Stril'civ vul.","","Артема вул. / Січових Стрільців вул."
"101215","1A","","1А"
"101216","5","","5"
"101217","5A","","5А"
"101218","5B","","5Б"
"101219","5V","","5В"
"101220","5G","","5Г"
"101221","7","","7"
"101222","7/9","","7/9"
"101223","9V","","9В"
"101224","10","","10"
"101225","10B","","10Б"
"101226","11","","11"
"101227","11A","","11А"
"101228","12","","12"
"101229","12A","","12А"
"101230","13","","13"
"101231","14","","14"
"101232","14A","","14А"
"101233","15","","15"
"101234","17","","17"
"101235","18","","18"
"101236","20","","20"
"101237","21","","21"
"101238","22","","22"
"101239","23","","23"
"101240","24","","24"
"101241","24A","","24А"
"101242","24B","","24Б"
"101243","25","","25"
"101244","25A","","25А"
"101245","26","","26"
