ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"12774","12774","100","112878","12765"
"12775","12775","100","112879","12765"
"12776","12776","100","112880","12765"
"12777","12777","100","112881","12765"
"12778","12778","100","112882","12765"
"12779","12779","100","112883","12765"
"12780","12780","100","112884","12765"
"12781","12781","100","112885","12765"
"12782","12782","100","112886","12765"
"12783","12783","100","112887","12765"
"12784","12784","100","112888","12765"
"12785","12785","100","112889","12765"
"12786","12786","100","112890","12765"
"12787","12787","100","112891","12765"
"12788","12788","100","112892","12765"
"12789","12789","100","112893","12765"
"12790","12790","100","112894","12765"
"12791","12791","100","112895","12765"
"12792","12792","100","112896","12765"
"12793","12793","100","112897","12765"
"12794","12794","100","112898","12765"
"12795","12795","100","112899","12765"
"12796","12796","100","112900","12765"
"12797","12797","100","112901","12765"
"12798","12798","100","112902","12765"
"12799","12799","100","112903","12765"
"12800","12800","100","112904","12765"
"12801","12801","100","112905","12765"
"12802","12802","100","112906","12765"
"12803","12803","100","112907","12765"
"12804","12804","100","112908","12765"
"12805","12805","100","112909","12765"
"12806","12806","100","112910","12765"
"12807","12807","100","112911","12765"
"12808","12808","100","112912","12765"
"12809","12809","100","112913","12765"
"12810","12810","100","112914","12765"
"12811","12811","100","112915","12765"
"12812","12812","100","112916","12765"
"12813","12813","100","112917","12765"
"12814","12814","100","112918","12765"
"12815","12815","100","112919","12765"
"12816","12816","100","112920","12765"
"12817","12817","100","112921","12765"
"12818","12818","100","112922","12765"
"12819","12819","100","112923","12765"
"12820","12820","100","112924","12765"
"12821","12821","100","112925","12765"
"12822","12822","100","112926","12765"
"12823","12823","100","112927","12765"
"12824","12824","100","112928","12765"
"12825","12825","100","112929","12765"
"12826","12826","100","112930","12765"
"12827","12827","100","112931","12765"
"12828","12828","100","112932","12765"
"12829","12829","100","112933","12765"
"12830","12830","100","112934","12765"
"12831","12831","100","112935","12765"
"12832","12832","100","112936","12765"
"12833","12833","100","112937","12765"
"12834","12834","100","112938","12765"
"12835","12835","100","112939","12765"
"12836","12836","100","112940","12765"
"12837","12837","100","112941","12765"
"12838","12838","100","112942","12765"
"12839","12839","100","112943","12765"
"12840","12840","100","112944","12765"
"12841","12841","100","112945","12765"
"12842","12842","100","112946","12765"
